NI;N;user_id;install_time;platform;country_region;city;gender;min_age_range;max_age_range;event_1;event_2;event_3;event_4;event_5;target_churn_indicator
1;1;2ba6f357;04/07/2018 19:24;Android;Santa Cruz;Río Gallegos;male;13;17;1;2;0;1;1;0
2;1;3cb936c1;30/06/2018 13:41;Android;Corrientes;Corrientes;male;13;17;0;7;0;3;0;1
3;1;17d88bbc;30/06/2018 16:02;Android;Cordoba;Villa Carlos Paz;female;18;20;2;1;0;2;2;1
4;1;7baa10b6;02/07/2018 21:08;Android;Buenos Aires;Don Torcuato;female;13;17;5;6;0;2;5;0
5;1;120d379;07/07/2018 4:18;Android;Santiago del Estero;Santiago del Estero;female;13;17;8;12;0;2;3;0
6;1;c35079e1;03/07/2018 5:55;Android;Buenos Aires;Florencio Varela;male;18;20;35;46;4;10;12;0
7;1;54864977;04/07/2018 21:38;Android;Cordoba;NA;female;13;17;1;0;0;1;1;1
8;1;d66b5d4d;01/07/2018 3:22;Android;Entre Rios;Villa Angelica;male;13;17;38;40;0;6;15;0
9;1;f7169db1;02/07/2018 14:31;Android;Buenos Aires;Gonzalez Catan;female;18;20;1;1;0;4;1;1
10;1;754d523b;07/07/2018 18:43;Android;Buenos Aires;Moron;female;13;17;4;4;0;2;3;1
11;1;114d9ff3;02/07/2018 15:43;Android;Buenos Aires;Mariano Acosta;male;13;17;2;4;0;1;1;0
12;1;8bb0a011;02/07/2018 21:06;Android;Entre Rios;Oro Verde;male;13;17;0;0;0;2;1;1
13;1;c17432c0;01/07/2018 23:36;Android;Mendoza;Mendoza;male;13;17;1;1;0;1;1;1
14;1;eeb71930;07/07/2018 18:26;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;18;27;0;4;7;1
15;1;e2f59e3f;30/06/2018 18:38;Android;Santa Fe;Sunchales;female;13;17;38;64;4;9;3;1
16;1;e7d229dd;06/07/2018 6:45;Android;Salta;Salta;female;18;20;114;115;6;9;17;0
17;1;e8f544a6;04/07/2018 22:18;Android;Buenos Aires;Lanus;male;18;20;6;4;0;4;1;0
18;1;2dc3da8a;05/07/2018 13:36;Android;Buenos Aires;Glew;male;18;20;8;8;0;4;8;0
19;1;82b9911;07/07/2018 21:13;Android;Buenos Aires;Villa Ballester;male;13;17;12;11;1;3;2;0
20;1;be21e5f3;02/07/2018 18:03;Android;Buenos Aires;Tres Arroyos;female;18;20;7;7;0;2;7;1
21;1;fbd9b175;30/06/2018 14:15;Android;Santa Fe;Santa Fe;female;18;20;40;41;0;12;4;1
22;1;34f9a3f5;07/07/2018 13:08;Android;Misiones;Posadas;male;18;20;7;8;0;1;4;1
23;1;c596ea16;03/07/2018 13:12;Android;Buenos Aires;Merlo;male;18;20;14;18;0;1;4;0
24;1;a98ccc55;04/07/2018 1:31;Android;Buenos Aires;San Fernando;female;18;20;9;9;0;2;5;1
25;1;2548e612;06/07/2018 22:18;Android;Neuquen;San Martín de los Andes;female;13;17;15;14;1;1;4;0
26;1;7f4cd29c;06/07/2018 21:40;Android;La Pampa;Eduardo Castex;male;18;20;38;55;2;6;4;0
27;1;2d25a90e;04/07/2018 3:09;Android;Buenos Aires;Ituzaingo;male;13;17;16;15;1;5;3;0
28;1;6e2d9d84;05/07/2018 14:58;Android;Santiago del Estero;Santiago del Estero;male;13;17;0;0;0;1;0;1
29;1;18a338d7;06/07/2018 17:24;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;2;3;0;3;2;1
30;1;ebe93fa4;07/07/2018 2:14;Android;Santa Fe;Santa Fe;female;18;20;9;9;0;2;9;0
31;1;b8eac9d5;07/07/2018 20:29;Android;Buenos Aires;Navarro;female;13;17;55;81;4;11;5;0
32;1;d723f845;01/07/2018 2:55;Android;Buenos Aires;Florencio Varela;male;13;17;15;14;1;2;4;0
33;1;40d686aa;30/06/2018 14:45;Android;Buenos Aires;Bahía Blanca;female;18;20;1;1;0;3;1;1
34;1;e50f9a71;03/07/2018 15:42;Android;Jujuy;San Salvador de Jujuy;male;13;17;7;11;1;5;1;1
35;1;f0345a47;02/07/2018 2:32;Android;Buenos Aires;Berazategui;female;18;20;32;259;7;4;6;0
36;1;a5feb85f;30/06/2018 16:31;Android;Buenos Aires;Florencio Varela;female;18;20;12;12;0;4;4;1
37;1;eef43f8e;06/07/2018 0:22;Android;Buenos Aires;Lanus;male;18;20;23;30;1;4;4;0
38;1;de889c2d;01/07/2018 15:57;Android;Cordoba;Mendiolaza;female;18;20;0;0;0;3;0;1
39;1;75ae3c76;01/07/2018 0:09;Android;Cordoba;Alejo Ledesma;female;18;20;29;28;0;13;12;0
40;1;243a663e;30/06/2018 21:49;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;16;8;0;3;7;1
41;1;8c3d7d10;03/07/2018 2:17;Android;Buenos Aires;Salto;male;13;17;6;24;0;5;4;0
42;1;74bf061c;03/07/2018 18:33;Android;Chaco;Las Brenas;male;18;20;14;23;0;11;14;0
43;1;827737f0;02/07/2018 16:08;Android;Misiones;Alba Posse;male;18;20;1;1;0;1;2;1
44;1;955ddf06;03/07/2018 2:56;Android;Santa Fe;Maximo Paz;female;13;17;3;4;0;2;2;1
45;1;4d0a5bb3;07/07/2018 15:39;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;5;15;0;2;5;1
46;1;4ccdf864;02/07/2018 3:12;Android;Misiones;San Javier;male;18;20;31;29;0;7;13;1
47;1;e78e0073;02/07/2018 19:58;Android;Buenos Aires;San Fernando;female;13;17;7;6;1;3;0;0
48;1;35a17d94;07/07/2018 1:51;Android;NA;NA;female;18;20;0;0;0;1;0;0
49;1;921690b;04/07/2018 17:04;Android;Tucuman;Tafi del Valle;male;13;17;36;45;0;8;12;0
50;1;81b759d5;04/07/2018 22:19;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;12;12;0;3;2;0
51;1;ef1aec7b;06/07/2018 16:35;Android;Buenos Aires;Ituzaingo;female;18;20;2;11;0;1;2;1
52;1;f705bcd2;07/07/2018 18:26;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;7;4;0;10;9;0
53;1;29023845;07/07/2018 5:45;Android;Buenos Aires;Berazategui;unknown;13;17;3;73;0;3;3;1
54;1;38b6946d;06/07/2018 3:05;Android;Chaco;Resistencia;male;18;20;5;0;0;3;1;0
55;1;85ef5dfe;03/07/2018 2:26;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;7;1;0;3;4;0
56;1;1aafedb8;03/07/2018 21:55;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;2;2;0;3;3;1
57;1;12918082;05/07/2018 2:15;Android;Cordoba;Córdoba;female;13;17;18;21;0;6;4;0
58;1;275d050b;03/07/2018 0:43;Android;Buenos Aires;San Miguel;male;18;20;0;2;0;3;0;1
59;1;9c9a825e;02/07/2018 18:11;Android;Cordoba;Córdoba;male;18;20;5;13;0;3;1;1
60;1;655fd6da;02/07/2018 0:27;Android;Buenos Aires;Burzaco;male;13;17;2;2;0;1;3;0
61;1;dc225dd4;03/07/2018 17:23;Android;Chubut;Comodoro Rivadavia;male;13;17;3;4;0;2;3;1
62;1;47cb4ba4;30/06/2018 16:50;Android;Misiones;Montecarlo;female;18;20;6;16;0;3;2;1
63;1;be447c72;04/07/2018 22:50;Android;Cordoba;Pozo del Molle;male;18;20;48;78;5;16;11;0
64;1;d48f38db;04/07/2018 19:28;Android;Tucuman;Concepcion;male;18;20;5;11;0;6;2;0
65;1;7197189;02/07/2018 13:55;Android;Entre Rios;Gualeguay;male;18;20;2;25;0;3;3;1
66;1;52c8912;06/07/2018 19:12;Android;Cordoba;Córdoba;male;18;20;1;2;0;1;1;1
67;1;8a8f750e;01/07/2018 15:20;Android;Buenos Aires;Berazategui;male;18;20;8;8;1;2;4;0
68;1;673d3cd8;07/07/2018 19:45;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;8;7;0;6;2;1
69;1;116be3f2;02/07/2018 11:05;Android;Misiones;Posadas;male;18;20;4;4;0;2;3;0
70;1;b6f19c89;05/07/2018 0:27;Android;Cordoba;Córdoba;male;13;17;5;5;0;2;3;1
71;1;d8a43efb;05/07/2018 15:56;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;17;23;1;4;5;0
72;1;666bc6;01/07/2018 4:39;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;4;7;0;2;3;0
73;1;76915dc8;04/07/2018 20:05;Android;Formosa;Formosa;male;18;20;8;28;0;11;5;0
74;1;6c679c74;07/07/2018 1:12;Android;NA;NA;female;18;20;24;29;1;5;6;1
75;1;6bcf7e1;02/07/2018 1:10;Android;Neuquen;Neuquén;male;18;20;24;44;2;6;4;1
76;1;97088fb4;01/07/2018 20:15;Android;Tucuman;San Miguel de Tucumán;male;18;20;5;10;0;7;1;0
77;1;6faf59ba;04/07/2018 16:09;Android;Santa Fe;Villa Constitucion;male;18;20;110;111;2;9;28;0
78;1;d1109ccd;06/07/2018 4:34;Android;Buenos Aires;Quilmes;male;18;20;2;4;0;2;0;0
79;1;9cf0d3db;01/07/2018 19:10;Android;Tucuman;San Miguel de Tucumán;female;13;17;20;15;0;9;8;1
80;1;e6a46c8c;05/07/2018 2:21;Android;Buenos Aires;Olavarría;male;18;20;15;14;0;3;5;0
81;1;8e246257;01/07/2018 1:53;Android;Cordoba;Brinkmann;female;13;17;1;2;0;1;1;1
82;1;6e84eeab;04/07/2018 0:02;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;18;44;0;9;6;0
83;1;40fdacb2;07/07/2018 4:41;Android;Santa Fe;Maciel;male;18;20;56;48;5;8;9;0
84;1;595ee5bf;04/07/2018 16:59;Android;Entre Rios;Gualeguaychú;male;18;20;0;3;0;4;0;0
85;1;d7f08cfb;01/07/2018 19:01;Android;Buenos Aires;Azul;female;13;17;10;38;0;4;4;0
86;1;f0df5286;03/07/2018 0:47;Android;Buenos Aires;Berisso;male;18;20;9;11;0;1;4;1
87;1;6ab3b2a3;05/07/2018 19:03;Android;San Juan;San Juan;female;13;17;40;52;3;4;4;0
88;1;a648bc4;01/07/2018 18:57;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;14;25;1;3;5;0
89;1;f6098bc5;06/07/2018 0:41;Android;Cordoba;Carrilobo;female;18;20;3;2;0;6;2;0
90;1;6,49E+08;05/07/2018 23:09;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;7;9;2;8;2;1
91;1;c13106a2;02/07/2018 1:18;Android;Buenos Aires;Mar del Plata;male;18;20;20;20;0;4;1;0
92;1;6de35c81;03/07/2018 19:38;Android;Cordoba;Marcos Juarez;female;13;17;3;1;0;1;3;1
93;1;2d6e5546;05/07/2018 18:18;Android;Buenos Aires;Pilar;male;13;17;11;16;0;7;4;0
94;1;21ec0c7a;07/07/2018 15:42;Android;Chaco;Resistencia;male;13;17;5;5;0;1;5;1
95;1;285bc9e8;06/07/2018 1:32;Android;Buenos Aires;Pilar;male;18;20;1;0;0;1;0;0
96;1;ee58470a;05/07/2018 0:10;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;4;6;0;5;2;0
97;1;97ec4b42;07/07/2018 14:42;Android;Jujuy;San Salvador de Jujuy;male;13;17;12;12;0;3;4;1
